0.000000 0.000000
0.102000 0.125000
0.422000 0.337000
0.960000 0.409500
1.702000 0.672000
2.650000 0.822000
3.802000 1.100500
5.158000 1.238000
6.694000 1.572000
8.422000 1.729000
10.33000 2.032000
12.40300 2.183000
14.64300 2.441000
17.03700 2.566000
19.55800 2.730500
22.22100 2.854500
24.99800 2.991000
27.89100 3.023500
30.86100 3.087000
33.93300 3.057500
37.05600 3.042500
40.24300 2.944000
43.46900 2.851500
46.73300 2.692500
49.99700 2.540000
53.27400 2.345500
56.62500 2.171000
59.75000 1.972500
62.93800 1.793500
66.07400 1.604500
69.13300 1.443000
72.11500 1.279000
74.99501 1.151000
77.77300 1.029500
80.43500 0.939500
82.97000 0.865000
85.35000 0.819500
87.59000 0.791500
89.64400 0.782500
91.57100 0.768500
93.29900 0.739500
94.84800 0.683500
96.19200 0.599500
97.34400 0.487500
98.29100 0.358500
99.03400 0.229000
99.57100 0.112500
99.89100 0.034500
100.0000 0.000000
